The Matrix | Rustamji Institute of Technology | [1, 'kan(315)']
CodeFreaks | The LNM Institute of Information Technology | [1, 'amr(232)']
DYNABYTZ | Indian Institute of Technology Guwahati | [1, 'kgp(411)']
Codex007 | Dwarkadas Jivanlal Sanghvi College of Engineering, Vile Parle, Mumbai | [1, 'kgp(336)']
Shinigami | M. S. Ramaiah Institute of Technology, Bengaluru | [1, 'amr(295)']
Lightning Strikers | PSG College of Technology, Coimbatore | [1, 'amr(1403)']
Three Eyed Raven | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(336)']
Deceptikons | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(897)']
Supercoders | Indian Institute of Technology Kharagpur | [1, 'kgp(144)']
Bit_Hackers | Malaviya National Institute of Technology, Jaipur | [1, 'amr(815)']
Capturing The Code | Amrita School of Engineering, Coimbatore | [1, 'amr(1429)']
Limitless | Bharati Vidyapeeth College of Engineering, Delhi | [1, 'kgp(199)']
ppt1.0 | Delhi Technological University | [1, 'amr(221)']
Code Mutants | Indian Institute of Technology Guwahati | [1, 'amr(458)']
KodeRAP | Jaypee Institute of Information Technology | [1, 'kgp(409)']
zorbers | Birla Institute of Technology Mesra | [1, 'amr(1276)']
FreeMasons | Indian Institute of Technology Roorkee | [1, 'amr(1142)']
Three Damsells | National Institute of Technology, Jamshedpur | [1, 'amr(1183)']
zombies | Shri Govindram Seksaria Institute of Technology and Science | [1, 'kan(290)']
adroit | Indian Institute of Information Technology, Allahabad | [1, 'amr(635)']
threateners | Madras Institute of Technology, Anna University | [1, 'amr(880)']
LEARNERS261 | National Institute of Technology, Jamshedpur | [1, 'amr(1176)']
chaos | Indian Institute of Technology Roorkee | [1, 'amr(1099)']
The Titans | Amrita School of Engineering, Bengaluru | [1, 'amr(995)']
Hash001 | Visvesvaraya National Institute of Technology, Nagpur | [1, 'amr(693)']
VictoriaAutMors | PSNA College of Engineering and Technology | [1, 'amr(1141)']
Atomix | Motilal Nehru National Institute of Technology Allahabad | [1, 'amr(789)']
CodeCrunch | Indian Institute of Technology Patna | [1, 'kgp(375)']
Codemasters | Institute of Engineering and Technology, Devi Ahilya Vishwavidyalaya | [1, 'kan(321)']
dcoders | Amrita School of Engineering, Bengaluru | [1, 'amr(1401)']
Transcendants | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1412)']
transpire | Indian Institute of Technology Roorkee | [1, 'amr(40)']
Valar Morghulis | Indian Institute of Technology Kharagpur | [1, 'amr(95)']
real rascals | Karpagam College of Engineering, Coimbatore | [1, 'amr(1385)']
event horizon | International Institute of Information Technology, Hyderabad | [1, 'amr(1240)']
butterknife | PES School of Engineering, Bangalore | [1, 'amr(322)']
Zeemist | Indian Institute of Technology Roorkee | [1, 'amr(544)']
SegmentationFault | National Institute of Technology Karnataka | [1, 'amr(365)']
Softacores | Motilal Nehru National Institute of Technology Allahabad | [1, 'amr(226)']
Cipher Solvers | Madras Institute of Technology, Anna University | [1, 'kgp(256)']
notapro | Visvesvaraya National Institute of Technology, Nagpur | [1, 'kan(91)']
IHeHim | National Institute of Technology, Calicut | [1, 'amr(1242)']
INFINITUM | National Institute of Technology, Calicut | [1, 'amr(149)']
programmer+ | Birla Institute of Technology Mesra | [1, 'amr(955)']
Greencode | Karpagam College of Engineering, Coimbatore | [1, 'amr(1352)']
gangLandMyth | Birla Institute of Technology & Science Pilani, Pilani Campus | [1, 'amr(728)']
AlgorithmistBeginners | Indian Institute of Technology Kanpur | [1, 'kan(75)']
hashmap | ABV - Indian Institute of Information Technology and Management Gwalior | [1, 'amr(478)']
Optimorphers | Indian Institute of Information Technology, Allahabad | [1, 'amr(205)']
Moses | International Institute of Information Technology, Hyderabad | [1, 'amr(230)']
VictoriousSecret | Visvesvaraya National Institute of Technology, Nagpur | [1, 'amr(768)']
Avighna | SR Engineering College, Hasanparthy | [1, 'amr(1025)']
SegFault | Manipal Institute of Technology, Manipal | [1, 'amr(776)']
bitcoders | Birla Institute of Technology & Science Pilani, Hyderabad Campus | [1, 'amr(670)']
Innovaders | Indian Institute of Technology, Varanasi | [1, 'kan(263)']
ArpitAkshayAbhijith | National Institute of Technology, Calicut | [1, 'amr(774)']
COBRA | Vardhaman College of Engineering | [1, 'amr(871)']
8ticks | Jadavpur University | [1, 'kan(23)']
Black_Flag | Amrita School of Engineering, Bengaluru | [1, 'amr(817)']
phoneix | Thiagarajar College of Engineering | [1, 'amr(1398)']
TORQUE | Visvesvaraya National Institute of Technology, Nagpur | [1, 'amr(763)']
Albatross | Birla Institute of Technology, Patna | [1, 'amr(814)']
Mannschaft | National Institute of Technology, Durgapur | [1, 'amr(803)']
Innovators | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1304)']
NIMDA_ICPC15 | Manipal Institute of Technology, Manipal | [1, 'amr(1182)']
ENIGMA | National Institute of Technology, Jamshedpur | [1, 'kan(142)']
VCET_IVYR_TeamA | Velammal College of Engineering and Technology | [1, 'amr(1203)']
Chaos1 | International Institute of Information Technology, Hyderabad | [1, 'amr(894)']
lumberjax | Indian Institute of Information Technology, Allahabad | [1, 'amr(178)']
Dice | Indian Institute of Technology Kanpur | [1, 'kgp(22)']
AlphaMikeFoxtrot | Indian Institute of Technology Roorkee | [1, 'amr(416)']
Dcoders | Indian Institute of Technology, Jodhpur | [1, 'kan(276)']
BlackPepper Pineapple | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1048)']
Coderz | Veermata Jijabai Technological Institute, Mumbai | [1, 'amr(1377)']
Bullet For Ur Code | University Institute of Engineering and Technology, Punjab University | [1, 'kgp(369)']
RegX | Indian Institute of Technology Kharagpur | [1, 'amr(283)']
kdkvnt | ABES Engineering College | [1, 'amr(722)']
tutles | Birla Institute of Technology Mesra | [1, 'amr(660)']
jamia Express | Jamia Millia Islamia | [1, 'kan(210)']
habozyk | Indian Institute of Technology Delhi | [1, 'kan(127)']
CodersAgony | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(119)']
GREEKY | Hindustan University | [1, 'amr(1213)']
interrup | Indian Institute of Information Technology, Design and Manufacturing, Jabalpur | [1, 'kan(385)']
invokers | Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar | [1, 'amr(1097)']
devilzbak | Birla Institute of Technology Mesra | [1, 'amr(1197)']
TLE.zip | Indian Institute of Information Technology, Allahabad | [1, 'amr(203)']
Sannin | Veermata Jijabai Technological Institute, Mumbai | [1, 'amr(1017)']
Trilogy | Indian Institute of Information Technology, Allahabad | [1, 'amr(146)']
AHS | Birla Institute of Technology Mesra | [1, 'amr(864)']
strike1 | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(217)']
CodeIT | Sree Vidyanikethan Engineering College | [1, 'amr(1205)']
Coders101112 | PSG College of Technology, Coimbatore | [1, 'amr(274)']
Serious Jokers | B. V. Bhoomaraddi College of Engineering & Technology | [1, 'amr(920)']
Innov8 | Manipal Institute of Technology, Manipal | [1, 'amr(803)']
stark_coders | Indian Institute of Information Technology, Allahabad | [1, 'amr(222)']
D_Coders | National Institute of Technology, Durgapur | [1, 'kgp(329)']
endecoders | Sardar Vallabhbhai National Institute of Technology, Surat | [1, 'amr(1426)']
The Binary Dosas | International Institute of Information Technology, Hyderabad | [1, 'amr(878)']
Coders007 | Indian Institute of Technology, Hyderabad | [1, 'amr(474)']
bitnibblebyte | College of Engineering, Guindy | [1, 'amr(933)']
Novice_Coders | Indian Institute of Information Technology, Allahabad | [1, 'amr(204)']
Codetrotters | Netaji Subhas Institute of Technology, New Delhi | [1, 'kgp(169)']
ultim8_coders! | Veermata Jijabai Technological Institute, Mumbai | [1, 'amr(1207)']
Agile | Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar | [1, 'kan(474)']
Haiku | Indian Institute of Technology Delhi | [1, 'kan(432)']
SAP | Indira Gandhi Institute of Technology | [1, 'kgp(415)']
codebrothers | Indian Institute of Technology Kharagpur | [1, 'amr(1112)']
#include<team_name.h> | Indian Institute of Technology Indore | [1, 'amr(945)']
rudra | Birla Institute of Technology, Patna | [1, 'kgp(44)']
ramlilacoders | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(937)']
Crew Underdog | Vidyavardhini's College of Engineering and Technology | [1, 'kan(312)']
Ctrl+Alt+Del | Karpagam College of Engineering, Coimbatore | [1, 'amr(917)']
CodeCrackers | International Institute of Information Technology, Hyderabad | [1, 'amr(329)']
BANANABOYS | International Institute of Information Technology, Hyderabad | [1, 'amr(1145)']
Coder coders[3]; | SRM University | [1, 'amr(1084)']
Losers | Indian Institute of Technology Ropar | [1, 'kgp(190)']
death eaters | Indian Institute of Technology Kanpur | [1, 'amr(253)']
The Matrix Miners | Sir M Visveswaraya Institute of Technology, Bangalore | [1, 'amr(1303)']
code wizards | Veermata Jijabai Technological Institute, Mumbai | [1, 'amr(1339)']
return 1; | Sri Shakthi Institute of Engineering and Technology | [1, 'amr(1204)']
TheBroCode | National Institute of Technology, Calicut | [1, 'amr(1102)']
pp | Indian Institute of Technology Kharagpur | [1, 'kan(227)']
TheWaterBottles | International Institute of Information Technology, Hyderabad | [1, 'amr(308)']
Top-Coder | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(457)']
BadIntentions | Netaji Subhas Institute of Technology, New Delhi | [1, 'amr(731)']
H0R0V | Birla Institute of Technology Mesra | [1, 'amr(223)']
NEXT_GEN_CODERS | Institute of Engineering & Management, Kolkata | [1, 'kan(425)']
Amateurs | Birla Institute of Technology Mesra | [1, 'amr(1251)']
lords of gallifry | Indian Institute of Technology Bombay | [1, 'kan(251)']
